code,start.date,end.date,number,name,f.max,ss,track,rm,b
N1635,1635-08-25,1635-08-25,NA,NA,F3,3,L,75,1.3
N1638a,1638-08-13,1638-08-14,NA,NA,F1,2,L,75,1.3
N1638b,1638-10-04,1638-10-05,NA,NA,F2,2,L,50,1.3
N1646,1646-11-14,1646-11-15,NA,NA,F2,2,L,100,1.3
N1675,1675-09-07,1675-09-07,NA,NA,F1,2,L,75,1.3
N1683,1683-08-23,1683-08-23,NA,NA,F1,1,L,75,1.3
N1698,1698-10-10,1698-10-10,NA,NA,F2,2,L,75,1.3
N1716,1716-10-24,1716-10-25,NA,NA,F1,2,O,75,1.3
N1727,1727-09-27,1727-09-27,NA,NA,F2,2,L,75,1.3
N1761,1761-10-23,1761-10-24,NA,NA,F2,2,L,75,1.3
N1769,1769-09-08,1769-09-08,NA,NA,F2,2,L,100,1.3
N1770,1770-10-20,1770-10-21,NA,NA,F2,2,L,75,1.3
N1785,1785-09-24,1785-09-25,NA,NA,F2,2,O,100,1.3
N1788,1788-08-19,1788-08-19,NA,NA,F3,3,L,50,1.3
N1804,1804-10-09,1804-10-09,NA,NA,F3,2,L,75,1.3
N1806,1806-08-23,1806-08-24,NA,NA,F1,2,O,75,1.3
N1815,1815-09-23,1815-09-23,NA,NA,F3,3,L,75,1.3
N1821,1821-09-03,1821-09-04,NA,NA,F3,3,L,50,1.3
N1825,1825-06-04,1825-06-05,NA,NA,F1,2,L,75,1.3
N1830,1830-08-17,1830-08-18,NA,NA,F2,2,O,75,1.3
N1839,1839-08-30,1839-08-31,NA,NA,F1,1,L,75,1.3
N1841,1841-10-03,1841-10-04,NA,NA,F2,2,O,75,1.3
N1846,1846-10-13,1846-10-14,NA,NA,F2,2,L,100,1.3
N1849,1849-10-06,1849-10-07,NA,NA,F2,2,O,100,1.3
N1850,1850-07-19,1850-07-19,NA,NA,F2,1,L,75,1.3
N1854,1854-09-10,1854-09-11,2,NA,F1,2,O,100,1.3
N1858,1858-09-16,1858-09-16,3,NA,F1,2,L,75,1.3
N1861,1861-11-02,1861-11-03,8,NA,F1,1,L,100,1.3
N1869a,1869-09-08,1869-09-08,6,NA,F3,3,L,50,1.3
N1869b,1869-10-04,1869-10-04,10,NA,F3,3,L,50,1.3
N1878,1878-10-23,1878-10-24,9,NA,F2,1,L,75,1.3
N1888,1888-11-27,1888-11-28,9,NA,F1,2,O,75,1.3
N1891,1891-10-13,1891-10-14,9,NA,Nr,2,O,50,1.3
N1893a,1893-06-18,1893-06-18,1,NA,Nr,1,O,50,1.3
N1893b,1893-08-24,1893-08-24,4,NA,F2,2,L,50,1.3
N1893c,1893-08-29,1893-08-29,6,NA,F2,1,L,75,1.3
N1896,1896-09-10,1896-09-11,2,NA,F0,1,L,50,1.3
N1903,1903-09-16,1903-09-16,4,NA,F2,1,W,100,1.3
N1904,1904-09-15,1904-09-15,2,NA,Nr,1,L,75,1.3
N1908,1908-08-01,1908-08-02,2,NA,Nr,2,O,50,1.3
N1916,1916-07-21,1916-07-21,2,NA,Nr,1,L,50,1.3
N1924,1924-08-26,1924-08-26,2,NA,F2,3,O,100,1.3
N1927,1927-08-24,1927-08-24,1,NA,F0,2,O,75,1.3
N1933,1933-09-17,1933-09-18,13,NA,F0,1,O,100,1.3
N1934,1934-09-08,1934-09-09,6,NA,F1,1,L,100,1.3
N1936a,1936-09-19,1936-09-19,13,NA,F1,1,L,75,1.3
N1936b,1936-09-24,1936-09-25,15,NA,Nr,1,O,75,1.3
N1938,1938-09-21,1938-09-21,4,NA,F3,3,L,75,1.3
N1940,1940-09-02,1940-09-02,4,NA,F1,1,O,100,1.3
N1944,1944-09-15,1944-09-15,7,NA,F2,2,L,100,1.3
N1950a,1950-08-20,1950-08-21,1,Able,Nr,2,O,50,1.3
N1950b,1950-09-11,1950-09-12,4,Dog,F1,1,O,100,1.3
N1953a,1953-08-15,1953-08-15,2,Barbara,F1,1,O,75,1.3
N1953b,1953-09-07,1953-09-07,3,Carol,Nr,1,O,75,1.3
N1954a,1954-08-31,1954-08-31,3,Carol,F2,2,L,75,1.3
N1954b,1954-09-11,1954-09-11,5,Edna,F2,2,L,100,1.3
N1958,1958-08-29,1958-08-29,4,Daisy,Nd,3,O,50,1.3
N1960,1960-09-12,1960-09-13,5,Donna,F2,2,L,100,1.3
N1961,1961-09-21,1961-09-21,5,Esther,F0,1,L,50,1.3
N1962a,1962-08-29,1962-08-29,1,Alma,Nr,2,O,50,1.3
N1962b,1962-10-07,1962-10-07,4,Daisy,F1,1,O,100,1.3
N1963,1963-10-29,1963-10-29,8,Ginny,F1,2,O,75,1.3
N1969,1969-09-09,1969-09-10,7,Gerda,F0,3,L,50,1.3
N1976,1976-08-10,1976-08-10,3,Belle,F1,1,L,100,1.3
N1985,1985-09-27,1985-09-27,7,Gloria,F2,2,L,75,1.3
N1991,1991-08-19,1991-08-19,2,Bob,F2,2,L,100,1.3
N1996,1996-09-02,1996-09-02,5,Edouard,F1,1,O,100,1.3
